english	native_script	romanized	clip	note
walk	थाबायनाय	thaabainai	01-walk.wav	
run	खारनाय	khaarnai	02-run.wav	
sit	जेराइ	jerai	03-sit.wav	
play	खेलनाय	khelnaai	04-play.wav	
cry	गाबनाय	gaabnai	05-cry.wav	
drink	लुंनाय	lungnai	06-drink.wav	
eat	जानाय	jaanai	07-eat.wav	
look	नायनाय	naainai	08-look.wav	
speak	बुंनाय	bungnai	09-speak.wav	
listen	खोननाय	khonnai	10-listen.wav	clip has an extra syllable, khonaa-song-nai; text is authoritative
read	फरायनाय	pharaainai	11-read.wav	clip heard as khraainai, most likely pha misheard as kha
write	लिरनाय	lirnai	12-write.wav	
make	बानाय	banainai	13-make.wav	
ride	सालायनाय	salainai	14-ride.wav	
knock	द'रजा थाख्लायनाय	dorja thakhlainai	15-knock.wav	literally knock the door; dorja is door
laugh	मिनिनाय	mininai	16-laugh.wav	
hug	गाबा गाबानाय	gaabaa gaabaanai	17-hug.wav	
smile	मिनिस्लुनाय	minislunai	18-smile.wav	
dance	मुसानाय	musaanai	19-dance.wav	
draw	आख्सनाय	aakshnai	20-draw.wav	
clap	आखाय खबनाय	aakhaay khopnai	21-clap.wav	literally hand clap; aakhaay is hand
paint	फुननाय	phunnai	22-paint.wav	
call	लिंखरनाय	linkhornai	23-call.wav	
kiss	फुदुमनाय	phudumnai	24-kiss.wav	
kick	जुनाय	junai	25-kick.wav	
climb	काखनाय	kaakhnai	26-climb.wav	
jump	बाल्नाय	baalnai	27-jump.wav	
yawn	श्यायनाय	shyaainai	28-yawn.wav	
hair brush	खानाय खाननाय	khanai khannai	29-hair-brush.wav	
